INDEX,REGION,DISTRICT,SOURCE NAME,SOURCE TYPE,SETTLEMENT,LONG,LAT,,,
89,Gedo,Elwak,Gubatu farms,Borehole,Gubatu borehole,2.774665,41.014177,,,
90,Gedo,Elwak,Dhamaso,Borehole,Dhamaso,3.156048,41.308615,,,
91,Gedo,Elwak,Qamrale,Borehole,Qamrale,3.150859,41.335827,,,
92,Gedo,Elwak,Baanbaxalimo,Borehole,Baanbaxalimo,2.817577,41.620986,,,
93,Gedo,Elwak,Dhamaso,Borehole,Dhaabaa,3.032751,41.206027,,,
94,Gedo,Elwak,Kurtun1,Borehole,Kurtun,1.985479,41.028934,,,
95,Gedo,Elwak,Meeri,Borehole,Meeri,2.504157,41.120563,,,
96,Gedo,Elwak,Kurtun2,Borehole,Kurtun,1.987433,41.028651,,,
97,Gedo,Elwak,Dhibaayow,Borehole,Dhibaayow,2.303378,41.085067,,,
98,Gedo,Elwak,Dhajiti dhaani,Borehole,Dhajiti dhaani,2.564072,40.994368,,,
99,Gedo,Elwak,Wargaduudo1,Borehole,Wargaduudo,2.739673,41.732653,,,
100,Gedo,Elwak,Wargaduudo2,Borehole,Wargaduudo,2.739709,41.732484,,,
101,Gedo,Garbaharey,Daableey  Borehole,Borehole,Daableey  Borehole,3.233001,42.026422,,,
102,Gedo,Garbaharey,Tumeey Borehole,Borehole,Tumeey Borehole,3.499775,42.158252,,,
103,Gedo,Garbaharey,Maykaareebay Borehole,Borehole,Maykaareebay Borehole,3.445758,42.269222,,,
104,Gedo,Garbaharey,Dhuure,Borehole,Dhuure,3.334818,42.231977,,,
105,gedo,Garbaharey,Hilomareer,Borehole,Burdhubo,3.2263407,42.503812,,,
106,gedo,Garbaharey,RAASAMAAL BOREHOLE,Borehole,Shabeel,3.3341471,42.2164937,,,
107,gedo,Garbaharey,AARAN BOREHOLE,Borehole,Xaashiweer,3.330412,42.2081547,,,
108,gedo,Garbaharey,BURAA BOREHOLE,Borehole,Buraa,3.1694412,42.1354144,,,
109,gedo,Garbaharey,BURWAAQO BOREHOLE,Borehole,Tuulo Burwaaqo,3.5014404,42.1604709,,,
110,Gedo,Garbaharey,Warsan,Water pan,Warsan Village ,3.345081,42.2190491,,,
111,Gedo,Garbaharey,Warsan ,Water pan,Warsan village ,3.3461727,42.2194488,,,
112,Gedo,Garbaharey,wabari,Shallow Well,Garbaharey,3.337573,42.210628,,,
113,Gedo,Garbaharey,Hashi- weer,Shallow Well,Garbaharey,3.336499,42.211519,,,
114,Gedo,Garbaharey,tafta-taag,Shallow Well,Garbaharey,3.3333462,42.212336,,,
115,Gedo,Garbaharey,wabari,Shallow Well,Garbaharey,3.332792,42.211802,,,
116,Gedo,Garbaharey,Haashiweer,Shallow Well,Garbaharey,3.332834,42.211743,,,
117,Gedo,Garbaharey,Dawmacaan ,Shallow Well,Garbaharey,3.3340329,42.2138141,,,
118,Gedo,Garbaharey,Dawmacaan,Shallow Well,Garbaharey,3.3333918,42.2124029,,,
119,Gedo,Garbaharey,Dawmacaan,Shallow Well,Garbaharey,3.3325817,42.21204,,,
120,Gedo,Garbaharey,Dawmacaan,Shallow Well,Garbaharey,3.332804,42.2118143,,,
121,Gedo,Garbaharey,Dawmacaan,Shallow Well,Garbaharey,3.3328617,42.211765,,,
122,Gedo,Garbaharey,Dawmacaan ,Shallow Well,Garbaharey,3.3328433,42.2117217,,,
123,Gedo,Garbaharey,Shabeel,Shallow Well,Garbaharey,3.3323617,42.2115917,,,
124,Gedo,Garbaharey,Haashiweer,Shallow Well,Garbaharey,3.3310367,42.2074633,,,
125,Gedo,Garbaharey,Haashiweer,Shallow Well,Garbaharey,3.3309067,42.207455,,,
126,Gedo,Garbaharey,Haashiweer ,Shallow Well,Garbaharey,3.33052,42.2081817,,,
127,Gedo,Garbaharey,Warsan,Shallow Well,Garbaharey,3.345081,42.2190491,,,
128,Gedo,Garbaharey,Warsan ,Shallow Well,Garbaharey,3.3461727,42.2194488,,,
129,Lower Jubba,Jamaame,Bula Gaduud,Shallow Well,Jamaame,0.071,42.5856,,,
